species_key,scientific_name,analysis_readiness,final_status,questions_asked,target_rank,target_score,matches,conflicts,known_answers,unknown_answers,analyzer_questions,failure_reason,question_path
macaca_leonina,Macaca leonina,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=monkey_like(known_trait)|primate_face_marking=unknown(unknown)|tail_impression=short(known_trait)|primary_color=yellowish_or_buff(known_trait)
sus_scrofa,Sus scrofa,species_ready,complete,3,1,8,3,0,3,0,2,,body_form=pig_like(known_trait)|snout_shape_simple=pig_like(known_trait)|primary_color=mixed(known_trait)
macaca_assamensis,Macaca assamensis,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=monkey_like(known_trait)|primate_face_marking=cheek_whiskers(known_trait)|tail_impression=medium(known_trait)
rhinopithecus_strykeri,Rhinopithecus strykeri,species_ready,complete,4,1,9,4,0,4,0,3,,body_form=monkey_like(known_trait)|primate_face_marking=beard_or_moustache(known_trait)|tail_impression=very_long(known_trait)|primary_color=black(known_trait)
trachypithecus_barbei,Trachypithecus barbei,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=monkey_like(known_trait)|primate_face_marking=eye_rings(known_trait)|tail_impression=unknown(unknown)|primary_color=black(known_trait)|body_pattern=plain(known_trait)
trachypithecus_popa,Trachypithecus popa,species_ready,complete,5,1,9,4,0,4,1,3,,body_form=monkey_like(known_trait)|primate_face_marking=mixed(known_trait)|primate_brow_pattern=unknown(unknown)|tail_impression=very_long(known_trait)|primary_color=dark_brown(known_trait)
trachypithecus_pileatus,Trachypithecus pileatus,species_ready,complete,4,1,9,4,0,4,0,3,,body_form=monkey_like(known_trait)|primate_face_marking=crest_or_crown(known_trait)|tail_impression=very_long(known_trait)|primary_color=mixed(known_trait)
ochotona_forresti,Ochotona forresti,species_ready,complete,7,1,7,3,0,3,4,2,,body_form=rabbit_hare_like(known_trait)|primary_color=dark_brown(known_trait)|movement_seen=unknown(unknown)|body_pattern=unknown(unknown)|tail_impression=unknown(unknown)|leg_foot_appearance=unknown(unknown)|observation_place=ground(known_trait)
ratufa_bicolor,Ratufa bicolor,species_ready,complete,5,1,9,3,0,3,2,2,,body_form=squirrel_like(known_trait)|rodent_tail_type=unknown(unknown)|primary_color=black(known_trait)|movement_seen=unknown(unknown)|body_covering=fur_or_hair(known_trait)
lepus_comus,Lepus comus,species_ready,complete,4,1,9,3,0,3,1,2,,body_form=rabbit_hare_like(known_trait)|primary_color=grey(known_trait)|movement_seen=unknown(unknown)|body_covering=fur_or_hair(known_trait)
manis_javanica,Manis javanica,species_ready,complete,3,1,11,3,0,3,0,3,,body_form=pangolin_like(known_trait)|body_covering=scales(known_trait)|movement_seen=climbing(known_trait)
arctonyx_albogularis,Arctonyx albogularis,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=mixed(known_trait)|tail_impression=short(known_trait)
rhinoceros_unicornis,Rhinoceros unicornis,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=rhino_like(known_trait)|snout_shape_simple=short_blunt(known_trait)|primary_color=grey(known_trait)
tapirus_indicus,Tapirus indicus,species_ready,complete,3,1,9,3,0,3,0,2,,body_form=tapir_like(known_trait)|snout_shape_simple=trunk_like(known_trait)|body_pattern=patched(known_trait)
elephas_maximus,Elephas maximus,species_ready,complete,3,1,8,3,0,3,0,2,,body_form=elephant_like(known_trait)|snout_shape_simple=trunk_like(known_trait)|primary_color=grey(known_trait)
trachypithecus_phayrei,Trachypithecus phayrei,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=monkey_like(known_trait)|primate_face_marking=unknown(unknown)|tail_impression=long(known_trait)|primary_color=grey(known_trait)
manis_pentadactyla,Manis pentadactyla,species_ready,complete,3,1,11,3,0,3,0,3,,body_form=pangolin_like(known_trait)|body_covering=scales(known_trait)|movement_seen=digging_or_burrowing(known_trait)
