species_key,scientific_name,current_readiness,remaining_candidate_count,conflicting_or_compatible_species,missing_candidate_traits,proposed_discriminator_trait,proposed_value,why_it_discriminates,source_needed,confidence,action,notes
capricornis_milneedwardsi,Capricornis milneedwardsi,insufficient_current_traits,6,axis_porcinus|rusa_unicolor|muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi,body_size_impression|movement_seen|observation_place|body_pattern|tail_shape|ear_shape_simple|snout_shape_simple|leg_foot_appearance|horn_shape_simple,body_size_impression,research_required,Existing candidate data show 3 values (dog_sized|deer_sized|cow_or_larger) among compatible candidates; if sourced for this species it could eliminate up to 4.,Reliable species account for Capricornis milneedwardsi body_size_impression,low,research_trait,
balaenoptera_physalus,Balaenoptera physalus,insufficient_current_traits,6,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus,tail_shape|cetacean_beak,cetacean_beak,research_required,Existing candidate data show 2 values (obvious_long_beak|short_beak) among compatible candidates; if sourced for this species it could eliminate up to 5.,Reliable species account for Balaenoptera physalus cetacean_beak,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
balaenoptera_edeni,Balaenoptera edeni,insufficient_current_traits,6,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus,tail_shape|cetacean_beak,cetacean_beak,research_required,Existing candidate data show 2 values (obvious_long_beak|short_beak) among compatible candidates; if sourced for this species it could eliminate up to 5.,Reliable species account for Balaenoptera edeni cetacean_beak,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
balaenoptera_borealis,Balaenoptera borealis,insufficient_current_traits,6,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus,tail_shape|cetacean_beak,cetacean_beak,research_required,Existing candidate data show 2 values (obvious_long_beak|short_beak) among compatible candidates; if sourced for this species it could eliminate up to 5.,Reliable species account for Balaenoptera borealis cetacean_beak,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
balaenoptera_acutorostrata,Balaenoptera acutorostrata,insufficient_current_traits,6,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus,tail_shape|cetacean_beak,cetacean_beak,research_required,Existing candidate data show 2 values (obvious_long_beak|short_beak) among compatible candidates; if sourced for this species it could eliminate up to 5.,Reliable species account for Balaenoptera acutorostrata cetacean_beak,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
stenella_longirostris,Stenella longirostris,insufficient_current_traits,6,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|steno_bredanensis,cetacean_dorsal_fin,cetacean_dorsal_fin,research_required,Existing candidate data show 2 values (curved_back|tall) among compatible candidates; if sourced for this species it could eliminate up to 2.,Reliable species account for Stenella longirostris cetacean_dorsal_fin,low,research_trait,
muntiacus_gongshanensis,Muntiacus gongshanensis,insufficient_current_traits,5,axis_porcinus|muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi,body_size_impression|movement_seen|tail_impression|ear_size_impression|ear_shape_simple|snout_shape_simple|horns_or_antlers|horn_shape_simple,body_size_impression,research_required,Existing candidate data show 2 values (dog_sized|cow_or_larger) among compatible candidates; if sourced for this species it could eliminate up to 3.,Reliable species account for Muntiacus gongshanensis body_size_impression,low,research_trait,
tursiops_truncatus,Tursiops truncatus,insufficient_current_traits,5,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|tursiops_truncatus,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,low,manual_review,
bos_gaurus,Bos gaurus,insufficient_current_traits,4,muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi,movement_seen|observation_place|tail_impression|ear_size_impression|leg_foot_appearance|horn_shape_simple,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,low,manual_review,
bubalus_arnee,Bubalus arnee,insufficient_current_traits,4,muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi,body_pattern|tail_impression|ear_size_impression,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,low,manual_review,
axis_porcinus,Axis porcinus,needs_one_or_two_discriminators,3,axis_porcinus|muntiacus_gongshanensis|capricornis_milneedwardsi,observation_place|body_pattern|tail_impression|leg_foot_appearance|horns_or_antlers,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
callosciurus_finlaysonii,Callosciurus finlaysonii,needs_one_or_two_discriminators,3,callosciurus_erythraeus|callosciurus_finlaysonii|callosciurus_caniceps,observation_place|body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
callosciurus_pygerythrus,Callosciurus pygerythrus,needs_one_or_two_discriminators,3,tamiops_swinhoei|callosciurus_quinquestriatus|callosciurus_pygerythrus,body_size_impression|observation_place|body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
callosciurus_erythraeus,Callosciurus erythraeus,needs_one_or_two_discriminators,3,callosciurus_erythraeus|callosciurus_finlaysonii|callosciurus_caniceps,body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
callosciurus_caniceps,Callosciurus caniceps,needs_one_or_two_discriminators,3,callosciurus_erythraeus|callosciurus_finlaysonii|callosciurus_caniceps,time_seen,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
callosciurus_quinquestriatus,Callosciurus quinquestriatus,needs_one_or_two_discriminators,3,tamiops_swinhoei|callosciurus_quinquestriatus|callosciurus_pygerythrus,body_size_impression|time_seen,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
tamiops_swinhoei,Tamiops swinhoei,needs_one_or_two_discriminators,3,tamiops_swinhoei|callosciurus_quinquestriatus|callosciurus_pygerythrus,tail_impression,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
